Zakłócenie [%],Błąd liniowy,Błąd rozmyty 2,Błąd rozmyty 3,Błąd rozmyty 4,Błąd rozmyty 5
-10,0.000155768346585996,0.000155768346585996,0.000155768346585996,0.000155768346585996,0.000155768346585996
-20,0.00273625884355857,0.00273625884355857,0.00273625884355857,0.00273625884355857,0.00273625884355857
-30,0.0143503515303725,0.0143503515303725,0.0143503515303725,0.0143503515303725,0.0143503515303725
-40,0.0529952322603952,0.0529952322603952,0.0529952322603952,0.0699469098458258,0.0699469098458258
-50,0.131324641552151,0.131324641552151,0.131324641552151,0.0388757450431574,0.0388757450431574
10,0.000136680830795071,0.000136680830795071,0.000136680830795071,0.000136680830795071,0.000136680830795071
20,0.00224568822800298,0.00224568822800298,0.00224568822800298,0.00224568822800298,0.00224568822800298
30,0.0108337377990244,0.0108337377990244,0.0108337377990244,0.0108337377990244,0.0108337377990244
40,0.0338856384218669,0.0338856384218669,0.0338856384218669,0.0232509306014042,0.0232509306014042
50,0.08435770556865,0.08435770556865,0.08435770556865,0.0156546568062423,0.0156546568062423
