Model,Błąd kwadratowy
Funkcja 1,11.0039543205183
Funkcja 2,11.1824860953331
Funkcja 3,11.1418698025463
Funkcja 4,11.3570706509123
Funkcja 5,11.2886445222006
Funkcja 6,11.180773222235
