Model,Błąd kwadratowy
Funkcja 1,0.0731336961244633
Funkcja 2,0.0806225057407898
Funkcja 3,0.0998242758691591
Funkcja 4,0.186071473932944
Funkcja 5,0.12605685301679
Funkcja 6,0.0843406331522424
